Time,Country,Confirmed,Recovered,Deaths
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,0,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,5,0,0
13:30:54.234,Afghanistan,8,0,0
13:30:54.234,Afghanistan,8,0,0
13:30:54.234,Afghanistan,8,0,0
13:30:54.234,Afghanistan,8,0,0
13:30:54.234,Afghanistan,11,0,0
13:30:54.234,Afghanistan,11,0,0
13:30:54.234,Afghanistan,11,0,0
13:30:54.234,Afghanistan,14,0,0
13:30:54.234,Afghanistan,20,0,0
13:30:54.234,Afghanistan,25,1,0
13:30:54.234,Afghanistan,26,1,0
13:30:54.234,Afghanistan,26,1,0
13:30:54.234,Afghanistan,26,1,0
13:30:54.234,Afghanistan,24,1,0
13:30:54.234,Afghanistan,24,1,0
13:30:54.234,Afghanistan,34,1,0
13:30:54.234,Afghanistan,40,1,1
13:30:54.234,Afghanistan,42,1,1
13:30:54.234,Afghanistan,74,2,1
13:30:54.234,Afghanistan,80,2,2
13:30:54.234,Afghanistan,91,2,2
13:30:54.234,Afghanistan,106,2,2
13:30:54.234,Afghanistan,114,2,4
13:30:54.234,Afghanistan,114,2,4
13:30:54.234,Afghanistan,166,5,4
13:30:54.234,Afghanistan,192,5,4
13:30:54.234,Afghanistan,235,10,4
13:30:54.234,Afghanistan,269,10,5
13:30:54.234,Afghanistan,270,10,5
13:30:54.234,Afghanistan,299,15,7
13:30:54.234,Afghanistan,337,18,7
13:30:54.234,Afghanistan,367,18,11
13:30:54.234,Afghanistan,423,29,14
13:30:54.234,Afghanistan,444,32,15
13:30:54.234,Afghanistan,521,32,15
13:30:54.234,Afghanistan,521,32,15
13:30:54.234,Afghanistan,555,32,18
13:30:54.234,Afghanistan,607,32,19
13:30:54.234,Afghanistan,665,40,22
13:30:54.234,Afghanistan,770,43,25
13:30:54.234,Afghanistan,794,54,29
13:30:54.234,Afghanistan,845,99,30
13:30:54.234,Afghanistan,908,112,30
13:30:54.234,Afghanistan,933,131,30
13:30:54.234,Afghanistan,996,135,33
13:30:54.234,Afghanistan,1026,150,36
13:30:54.234,Afghanistan,1092,166,36
13:30:54.234,Afghanistan,1176,179,40
13:30:54.234,Afghanistan,1226,188,40
13:30:54.234,Afghanistan,1330,188,43
13:30:54.234,Afghanistan,1463,207,49
13:30:54.234,Afghanistan,1531,220,50
13:30:54.234,Afghanistan,1703,228,60
13:30:54.234,Afghanistan,1827,252,60
13:30:54.234,Afghanistan,1827,260,60
13:30:54.234,Afghanistan,2171,310,64
13:30:54.234,Afghanistan,2469,331,72
13:30:54.234,Afghanistan,2469,345,72
13:30:54.234,Afghanistan,2469,397,72
13:30:54.234,Afghanistan,2469,421,72
13:30:54.234,Afghanistan,3224,458,95
13:30:54.234,Afghanistan,3392,468,104
13:30:54.234,Afghanistan,3563,472,105
13:30:54.234,Afghanistan,3563,502,105
13:30:54.234,Afghanistan,4402,558,119
13:30:54.234,Afghanistan,4664,558,120
13:30:54.234,Afghanistan,4967,610,127
13:30:54.234,Afghanistan,4967,648,127
13:30:54.234,Afghanistan,5339,691,136
13:30:54.234,Afghanistan,6053,745,153
13:30:54.234,Afghanistan,6402,745,168
13:30:54.234,Afghanistan,6635,778,169
13:30:54.234,Afghanistan,7072,801,173
13:30:54.234,Afghanistan,7655,850,177
13:30:54.234,Afghanistan,8145,930,187
13:30:54.234,Afghanistan,8676,938,193
13:30:54.234,Afghanistan,9216,996,205
13:30:54.234,Afghanistan,9952,1040,215
13:30:54.234,Afghanistan,10668,1075,222
13:30:54.234,Afghanistan,11180,1097,223
13:30:54.234,Afghanistan,11917,1128,224
13:30:54.234,Afghanistan,12465,1138,230
13:30:54.234,Afghanistan,13102,1209,239
13:30:54.234,Afghanistan,13745,1259,250
13:30:54.234,Afghanistan,14529,1303,252
13:30:54.234,Afghanistan,15180,1328,254
13:30:54.234,Afghanistan,15836,1428,269
13:30:54.234,Afghanistan,16578,1450,274
13:30:54.234,Afghanistan,17353,1522,298
13:30:54.234,Afghanistan,17977,1585,303
13:30:54.234,Afghanistan,19055,1762,313
13:30:54.234,Afghanistan,19637,1830,331
13:30:54.234,Afghanistan,20428,1875,361
13:30:54.234,Afghanistan,21003,2171,373
13:30:54.234,Afghanistan,21308,2651,380
13:30:54.234,Afghanistan,22228,3013,409
13:30:54.234,Afghanistan,22976,3326,430
13:30:54.234,Afghanistan,23632,3928,450
